chrosome,start,end,sample_name,n_spliced_reads,strand,junction_name
chr1,10105744,10106197,10_Control.SJ.out,3,+,UBE4B|annotated|1
chr1,16989770,16990127,10_Control.SJ.out,0,-,ATP13A2|annotated|1
chr1,24384003,24401319,10_Control.SJ.out,1,-,STPG1|annotated|1
chr1,28579587,28579683,10_Control.SJ.out,3,-,SNHG12|novel_donor|1
chr1,29058645,29064982,10_Control.SJ.out,2,+,EPB41|annotated|1
chr1,41041565,41046407,10_Control.SJ.out,0,-,SCMH1|annotated|1
chr1,45882395,45911040,10_Control.SJ.out,1,+,MAST2|novel_acceptor|1
chr1,81936837,81942031,10_Control.SJ.out,1,+,ADGRL2|novel_acceptor|1
chr1,81936837,81942034,10_Control.SJ.out,2,+,ADGRL2|annotated|1
chr1,90918154,90935408,10_Control.SJ.out,1,-,ZNF644|annotated|1
chr1,90935530,90937485,10_Control.SJ.out,1,-,ZNF644|novel_acceptor|1
chr1,148868622,148929197,10_Control.SJ.out,2,+,PDE4DIP|novel_exon_skip|1
chr1,167220958,167303474,10_Control.SJ.out,2,+,POU2F1|annotated|1
chr1,204988806,204991292,10_Control.SJ.out,5,+,NFASC|annotated|1
chr1,224411562,224418260,10_Control.SJ.out,1,-,WDR26|novel_acceptor|1
chr10,37971807,37971915,10_Control.SJ.out,1,-,ZNF25|novel_donor|1
chr10,60134358,60138964,10_Control.SJ.out,3,-,ANK3|novel_exon_skip|1
chr10,77019099,77027823,10_Control.SJ.out,9,-,KCNMA1|annotated|1
chr10,102144307,102148372,10_Control.SJ.out,1,+,PPRC1|annotated|1
chr11,20051333,20054080,10_Control.SJ.out,4,+,NAV2|annotated|1
chr11,59793514,59795415,10_Control.SJ.out,3,+,STX3|novel_acceptor|1
chr11,76364432,76365780,10_Control.SJ.out,1,-,THAP12|novel_combo|1
chr11,87091395,87236638,10_Control.SJ.out,1,+,TMEM135|annotated|1
chr11,113235164,113246368,10_Control.SJ.out,1,+,NCAM1|annotated|1
chr11,113246370,113255877,10_Control.SJ.out,1,+,NCAM1|annotated|1
chr11,123578430,123584312,10_Control.SJ.out,1,+,GRAMD1B|annotated|1
chr12,27656730,27658816,10_Control.SJ.out,4,+,PPFIBP1|annotated|1
chr12,39320013,39321348,10_Control.SJ.out,1,-,KIF21A|annotated|2
chr12,39326324,39330746,10_Control.SJ.out,9,-,KIF21A|annotated|1
chr12,49742280,49752464,10_Control.SJ.out,0,+,TMBIM6|annotated|1
chr12,50401028,50427765,10_Control.SJ.out,1,+,LARP4|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,RP11-571M6.19|annotated|1
chr12,57623913,57624003,10_Control.SJ.out,0,+,SLC26A10|annotated|1
